file,label,score_mahalanobis,flag_mahalanobis,score_lof,flag_lof,score_isoforest,flag_isoforest,score_elliptic_envelope,flag_elliptic_envelope,score_ocsvm,flag_ocsvm
20260412_150429.mp4,normal,4.993225977116821,0,1.0899672188490341,0,0.5108224205866488,0,29.368664146114085,0,-0.12142821844206146,0
20260412_172827.mp4,normal,3.3656067044113884,0,1.1773744053009438,0,0.5342234139920367,0,15.077645600878611,0,-0.13159895127312002,0
20260412_195225.mp4,normal,3.830642755649173,0,1.0888470622134665,0,0.4710938094261236,0,16.58927304320039,0,-0.14194648709881885,0
20260412_221623.mp4,normal,4.377852112042634,0,1.1091779991676227,0,0.4825101361882717,0,21.166781731217995,0,-0.14389481290458267,0
20260413_004020.mp4,normal,4.894151738095962,0,1.1138958876810374,0,0.4738030055216746,0,25.15551976145064,0,-0.1417443510980427,0
20260413_030419.mp4,normal,4.138319698257772,0,1.0685481136396242,0,0.4786460399085796,0,17.57092973349611,0,-0.16210531313904553,0
20260413_052816.mp4,normal,5.349508974774717,0,1.1554423229336075,0,0.5161741949328669,0,30.044860894374537,0,-0.11526522591764107,0
20260413_075215.mp4,normal,3.5644627026755935,0,1.0851634535440087,0,0.4274552366409889,0,14.30751796878241,0,-0.1628153695044634,0
20260413_101612.mp4,normal,4.768570625009625,0,1.329328939125117,0,0.5602521520816233,0,26.72711562034523,0,-0.10813913071157719,0
20260413_124010.mp4,normal,4.199565229746509,0,1.2310326680063315,0,0.5349494932302666,0,24.103175051647856,0,-0.1409327698470448,0
20260413_150408.mp4,normal,4.783886579670555,0,1.273327771109434,0,0.5233166317414879,0,38.62341907239346,0,-0.14618229911427907,0
20260413_172806.mp4,normal,5.228060239031651,0,1.3126968767991467,0,0.5656829532617049,0,51.31934142900422,0,-0.12234177449930182,0
20260413_195204.mp4,normal,4.5973957051236924,0,1.3404988775351572,0,0.5451157458838947,0,52.81630766330799,0,-0.14247825989759483,0
20260413_221602.mp4,normal,3.091498665531701,0,1.0651612555992802,0,0.4926826249870825,0,14.597476984485528,0,-0.14920265046260273,0
20260414_004000.mp4,normal,4.381011133454573,0,1.3613843570971982,0,0.5516712683324715,0,46.83454281154759,0,-0.1369092827158891,0
20260414_030358.mp4,normal,4.866094546642772,0,1.2533063391345372,0,0.5143781574955083,0,41.47902332760316,0,-0.13757316341079223,0
20260414_052756.mp4,normal,6.068405764351666,0,1.4014736419761882,0,0.5568647144393583,0,76.44835285661571,0,-0.11654335610452103,0
20260414_075153.mp4,normal,5.004034629875698,0,1.1690675719466195,0,0.5359507473038407,0,53.02382586087025,0,-0.10615557184210402,0
20260414_101551.mp4,normal,5.581032828378824,0,1.34957440492401,0,0.5703571377055692,0,64.65963625863843,0,-0.12107022570730505,0
20260414_123949.mp4,normal,5.3834980916182475,0,1.2588342043808578,0,0.5419852333822863,0,66.19001369008006,0,-0.11263811174288013,0
20260414_150347.mp4,normal,4.652349130800463,0,1.2414524015378405,0,0.5298292080880165,0,35.92629471260362,0,-0.09894074990938875,0
20260414_172745.mp4,normal,4.398875882579944,0,1.3323668497622232,0,0.5456594061111548,0,43.89523293497703,0,-0.1425519830570827,0
20260414_195143.mp4,normal,3.825811138693438,0,1.1369939331189363,0,0.51235005966959,0,26.969998724114586,0,-0.13870521054661228,0
20260414_221541.mp4,normal,4.581080848258087,0,1.1490916558281024,0,0.5248052114024304,0,44.37635050279083,0,-0.12032119372043534,0
20260415_003939.mp4,normal,4.221296012524987,0,1.063341437306179,0,0.5321310142803868,0,18.291171282384234,0,-0.12955405489324573,0
20260415_030337.mp4,normal,5.572224591073509,0,1.2461563332526553,0,0.522563679568912,0,32.0585042764316,0,-0.09720647152736957,0
20260415_052735.mp4,normal,4.846783444683528,0,1.1266479362360045,0,0.5389983406789767,0,23.218385806902333,0,-0.11327761275280586,0
20260415_075133.mp4,normal,5.025246220613727,0,1.4137390394301834,0,0.573942409380317,0,27.106375481794593,0,-0.08903990924940561,1
20260415_101531.mp4,normal,5.336431554492699,0,1.2716721925318086,0,0.4908810551308104,0,45.59368687977551,0,-0.1393887872476069,0
20260424_021218.mp4,normal,12.096019534109578,1,1.8380143874421797,1,0.6598136678526961,1,155.48173347168012,1,-0.007706429306235385,1
20260424_043616.mp4,normal,12.68786697238507,1,1.860547596645164,1,0.6731404785328152,1,171.10490364134594,1,-0.005079015020624994,1
20260415_114135.mp4,anomalous,16.540205151254987,1,2.0165945252498196,1,0.6567847314281351,1,270.8145643309541,1,-0.009958753169882636,1
20260415_114630.mp4,anomalous,7.47432026293063,1,1.4712093008941463,0,0.6003539999621944,1,73.47117033733916,0,-0.06104975889398706,1
20260415_114946.mp4,anomalous,16.73608975107242,1,2.0029437720804957,1,0.6471148911070029,1,309.43133028562573,1,-0.017132131370177592,1
20260415_115120.mp4,anomalous,8.803503187507248,1,1.9978858885759283,1,0.6506603092631223,1,98.12478007929515,0,-0.02584263078424788,1
20260415_115810.mp4,anomalous,6.878401251163624,1,1.6682966510172477,1,0.6645382033792169,1,83.48940592072279,0,-0.05960233656229158,1
20260415_120141.mp4,anomalous,9.25982029071846,1,1.4714268361814087,0,0.6504087785330511,1,107.04552669096756,0,-0.06509232187773281,1
20260415_120511.mp4,anomalous,8.967215985373532,1,2.1152074464802184,1,0.651200072984973,1,103.05512964700341,0,-0.01699288210955234,1
20260415_121137.mp4,anomalous,11.373992548215607,1,2.084559052745882,1,0.6530116234074749,1,158.80011423985286,1,-0.010159282750566503,1
20260415_121345.mp4,anomalous,15.318848529903189,1,2.168278517384532,1,0.6869230754134787,1,269.61790044528425,1,-0.0035915531512275556,1
20260420_172104.mp4,anomalous,11.404475039149446,1,2.180271770194155,1,0.671341888864557,1,141.19890563365587,1,-0.005925960673882069,1
20260420_172746.mp4,anomalous,11.226594775462866,1,2.1389090032830644,1,0.6604406192794235,1,131.67979323183752,1,-0.007499306005887413,1
20260422_113045.mp4,anomalous,17.70983761105081,1,2.3017273914651946,1,0.6739380068335984,1,366.8647784339702,1,-0.005358692702494061,1
20260422_113305.mp4,anomalous,15.234883163431599,1,2.3575236123020673,1,0.655784632552589,1,256.55116567020883,1,-0.005499382515329998,1
20260422_114100.mp4,anomalous,10.426640624583989,1,2.0041745259500328,1,0.6844006840147571,1,135.18215073430983,1,-0.005341664707351812,1
20260422_114225.mp4,anomalous,10.763385687469668,1,2.062808190326206,1,0.6831271028961314,1,147.49621112800497,1,-0.004324492593336143,1
20260422_114331.mp4,anomalous,11.290614744005413,1,2.1386872198541185,1,0.6926933896232504,1,160.98873287517722,1,-0.003751768993364768,1
20260422_115030.mp4,anomalous,9.889097888528477,1,1.8959318710622917,1,0.6644725778522773,1,108.7216292119011,0,-0.009279881928879824,1
20260422_115135.mp4,anomalous,9.240651361261659,1,1.7115737975637177,1,0.6564176271906559,1,89.53161019858217,0,-0.016126229349608223,1
20260422_115231.mp4,anomalous,9.523284259890557,1,1.8268004810497647,1,0.6648052110419235,1,106.31209183563188,0,-0.011487293128800258,1
20260422_115412.mp4,anomalous,10.031829798931767,1,1.9134889641259032,1,0.6712925724460457,1,114.75859823895246,0,-0.007000430280763026,1
20260422_121041.mp4,anomalous,14.967961231273298,1,2.3851820125113816,1,0.6595441361560961,1,233.37478779565535,1,-0.009759385538554155,1
20260422_121214.mp4,anomalous,13.058752836613358,1,2.2151980249280365,1,0.6465540653518717,1,188.64538710761076,1,-0.014242276073478263,1
20260422_122029.mp4,anomalous,14.396305643579929,1,2.417994418484814,1,0.6756126518914639,1,215.51414175445288,1,-0.008565097861291365,1
20260422_122142.mp4,anomalous,13.761429169954052,1,2.2056609430858503,1,0.6436358698921921,1,195.6955324442005,1,-0.012522853152717076,1
